Lat,Long,Region,31/03/20,07/04/20,15/04/20,22/04/20,30/04/20,07/05/20,15/05/20,22/05/20,31/05/20,07/06/20,15/06/20,22/06/20,30/06/20,07/07/20,15/07/20,22/07/20,31/07/30,07/08/20,15/08/20,22/08/20,30/08/20
"-21,50216466","45,20566584",Androy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3
"-25,0333332","46,9833294",Anôsy,1,1,1,1,2,1,1,1,3,2,3,1,1,1,1,3,3,3,3,2,2
"-23,35","43,66667",Atsimo_Andrefana,1,2,1,1,2,1,1,1,2,2,2,1,1,1,3,3,3,3,3,2,3
"-22,40293","46,12576",Ihorombe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,3,3
"-20,28416553","44,31716538",Menabe,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,3,3,3
"-17,166666","49,2999988",Analanjirofo,1,1,2,1,1,1,1,1,3,3,3,3,3,2,3,3,3,2,1,1,1
"-12,2666656","49,2833322",Diana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
"-14,8833298","50,2833322",Sava,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,3,3,3,3
"-14,87239818","47,9833994",Sofia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3
"-15,71667","46,31667",Boeny,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,3,3,3,3,2,2
"-18,05428","44,034196",Melaky,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"-17,2999988","46,9499962",Betsiboka,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,3,3
"-18,9333296","47,5166646",Analamanga,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2
"-18,1499994","49,416665",Itasy,1,1,1,1,1,1,1,1,3,3,2,1,1,2,3,3,3,3,2,2,1
"-18,76969","46,04653",Bongolava,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,3,3,3,2,3,3
"-19,8666632","47,0333332",Vakinakaratra,1,1,1,1,1,2,2,1,1,1,1,2,2,3,3,2,3,3,3,3,3
"-21,45267","47,08569",Matsiatra-ambony,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,3,3,3,3,3,3
"-22,14862","48,01055",Vatovavy_vitovinany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,3,3
"-22,82223","47,82615",Atsimo_Atsinana,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1
"-20,53034","47,24344",Amoron_Mania,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,3,3,3,2
"-17,9","48,4",Alaotra_Mangoro,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,2
"-18,1499994","49,416665",Atsinanana,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2